,AIC,BIC,Fit mean (s),Fit std (s),Summary mean (s),Summary std (s)
correct,90,100,19.95910591900174,3.2919810331389376,7.166632048995816,0.28888709502421345
less,0,0,16.131301951995702,2.225175832545176,6.766023425000603,0.18715956666436848
more,10,0,17.879646106997388,6.860674577347501,8.855492994002416,0.26793460856222895
mis,0,0,22.440580970002337,6.004571953694066,6.196152411995572,0.2618076082657422
